SITE,HABITAT,V1GST,V2EYR,V3GF,V4BTH,V5GWH,V6WTTR,V7WEHE,V8WNHE,V9SFW,V10WBSW,V11CR,V12LK,V13RWB,V14AUR,V15STTH,V16LR,V17WPHE,V18YTH,V19ER,V20PCU,V21ESP,V22SCR,V23RBFT,V24BFCS,V25WAG,V26WWCH,V27NHHE,V28VS,V29CST,V30BTR,V31AMAG,V32SCC,V33RWH,V34WSW,V35STP,V36YFHE,V37WHIP,V38GAL,V39FHE,V40BRTH,V41SPP,V42SIL,V43GCU,V44MUSK,V45MGLK,V46BHHE,V47RFC,V48YTBC,V49LYRE,V50CHE,V51OWH,V52TRM,V53MB,V54STHR,V55LHE,V56FTC,V57PINK,V58OBO,V59YR,V60LFB,V61SPW,V62RBTR,V63DWS,V64BELL,V65LWB,V66CBW,V67GGC,V68PIL,V69SKF,V70RSL,V71PDOV,V72CRP,V73JW,V74BCHE,V75RCR,V76GBB,V77RRP,V78LLOR,V79YTHE,V80RF,V81SHBC,V82AZKF,V83SFC,V84YRTH,V85ROSE,V86BCOO,V87LFC,V88WG,V89PCOO,V90WTG,V91NMIN,V92NFB,V93DB,V94RBEE,V95HBC,V96DF,V97PCL,V98FLAME,V99WWT,V100WBWS,V101LCOR,V102KING,COMPCOR1,COMPCOR2,COMPCOR3
Heathcote Ju,Montane Fore, 3.7,2.5, 6.3,24.9,2.8, 7.4, 1.3, 4.7, 5.5, 9.5, 5.7,2.9, 0.0,1.8,12.0, 0.0, 0.0, 0.0,0.0,2.8, 0.9,2.6, 0.0,0.0,0.0,11.7, 0.0, 0.0,0.0, 0.0,0.0, 0.0, 5.9, 0.0,4.4, 4.7,0.0,0.0, 0.0, 0.0,3.7, 2.5,1.5, 0.0,0.0, 0.0,0.0,1.8,0.0, 0.0,0.0, 0.0,0.0,0.9,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,1.5,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40350443,-0.11604993,-0.617687543
Warburton,Montane Fore, 3.8,6.5,11.1,36.1,6.2, 8.5, 2.3,25.4, 8.2, 5.9,10.5,3.1, 9.8,1.6, 7.6,15.0, 0.0, 0.0,0.0,1.8, 7.6,0.0, 0.9,1.5,0.0, 0.0, 0.0, 3.9,2.5, 0.0,0.0, 0.0, 0.0, 0.0,2.7, 6.2,3.3,0.0, 0.0, 0.0,6.2, 4.6,5.7, 0.0,0.0, 7.4,0.0,3.9,1.4, 0.0,0.0, 0.0,0.0,1.4,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,1.8,0.7,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,1.8,2.1,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-1.21720768, 0.64962268, 0.256322360
Millgrove,Mixed, 5.4,6.5,11.9,19.6,3.3, 8.6, 2.5,11.9, 4.3, 5.4,10.8,6.5, 2.7,2.0, 8.6, 0.0, 0.0, 0.0,6.5,2.5, 5.4,2.0, 5.4,2.2,0.0, 0.0, 0.0, 5.4,3.2, 0.0,0.0, 0.0, 8.8, 0.0,2.2, 5.4,2.6,0.0, 0.0, 0.0,5.3, 3.2,1.1, 0.0,0.0, 0.9,0.0,1.9,0.0, 2.2,0.0, 0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,1.1,0.9, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,1.1,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73909115,-0.04163297,-0.158391593
Ben Cairn,Mixed, 3.1,9.3,11.1,25.9,9.3, 8.3, 2.8, 2.8, 2.8, 8.3,18.5,3.1, 0.0,3.1,12.0, 3.3, 0.0, 0.0,0.0,2.5, 7.4,0.0, 0.0,0.0,0.0, 0.0, 2.1, 0.0,0.0, 0.0,0.0, 0.0, 0.0, 0.0,0.0, 0.9,3.7,0.0, 0.0, 0.0,3.7,12.0,2.1, 0.0,0.0, 0.0,0.0,3.7,0.0, 5.6,3.7, 0.0,0.0,0.0,4.1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,3.7,2.8,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,4.6,1.9,0.0,2.8,0.0,1.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.73371452, 2.12567201, 0.469784130
Panton Gap,Montane Fore, 3.8,3.8,10.3,34.6,7.9, 4.8, 2.9, 3.7, 4.8, 7.2, 5.9,3.1, 0.6,3.8,17.3, 2.4, 0.0, 0.0,0.0,3.1, 9.2,0.0, 3.7,0.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0,0.0, 0.0, 0.0, 0.0,1.2, 4.9,3.8,0.0, 0.0, 0.0,1.9, 2.4,2.9, 0.0,0.0, 7.7,0.0,0.0,2.4, 1.8,0.6, 0.0,0.0,0.9,1.8,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,4.8,1.8,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,1.8,3.7,0.0,1.8,0.0,3.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.37636698, 1.60876196, 0.222241287
OShannassy,Mixed, 9.6,4.0, 5.4,34.9,7.0, 5.1, 2.6, 6.4, 3.9,11.3,11.6,2.3, 0.0,2.3, 7.8, 0.0, 0.0, 0.0,0.0,1.5, 3.1,0.0, 9.6,0.7,0.0, 0.0, 0.0, 0.0,0.0, 0.0,0.0, 0.0, 3.9, 0.0,3.1, 8.5,2.9,0.0, 0.0, 0.0,2.2, 3.7,0.0, 0.0,0.0, 0.0,0.0,1.5,1.6, 8.1,0.0, 0.0,0.0,0.0,2.4,5.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,2.2,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.17015356, 1.29973674, 0.412187015
Ghin Ghin,Mixed, 3.4,2.7, 9.1,16.1,1.3, 3.2, 4.7, 0.0,22.0, 5.8, 7.4,4.5, 0.0,0.0, 8.1, 2.7, 8.4, 8.4,3.4,0.0, 0.0,0.0,44.7,0.4,1.3, 0.0, 0.4, 0.6,0.6, 0.0,8.4,47.6, 6.1, 4.7,1.2, 6.7,0.0,0.0, 0.0, 0.0,4.5, 6.7,0.0, 0.0,2.7, 0.0,1.3,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,2.4,0.0,1.2,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,1.8, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,1.8,0.0,0.0,3.9,0.0,0.0,1.2,0.0,0.0,0.8,0.0,1.8,1.2,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0, 0.50579788, 0.39195343,-0.402195706
Minto,Mixed, 5.6,3.3,13.3,28.0,7.0, 8.3, 7.0,38.9,10.5, 7.0,14.0,5.2, 1.7,5.2,25.2, 0.0,15.4, 0.0,0.0,0.0, 3.3,0.0,10.5,0.0,0.0, 0.0, 0.0, 0.0,3.5, 0.0,6.7,80.5, 5.0, 0.0,5.0,26.7,0.0,0.0, 0.0, 0.0,5.0,17.5,0.0, 0.0,0.0, 0.0,2.8,0.0,0.0, 0.0,2.8, 0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,1.7, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37846420, 0.24309024,-0.001164642
Hawke,Mixed, 1.7,2.6, 5.5,16.0,4.3, 6.7, 3.5, 5.9, 6.7,10.0, 3.7,2.1, 0.5,1.5, 9.0, 4.8, 0.0, 0.0,0.0,2.1, 3.7,0.0, 0.0,0.7,0.0, 3.2, 0.0, 0.0,1.5, 0.0,0.0, 0.0, 4.2, 0.0,0.0, 3.2,0.0,0.0, 0.0, 5.2,3.7, 0.0,0.0, 0.0,0.0, 0.5,0.0,0.0,1.7, 0.0,0.0, 0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.7,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28194487,-0.19651058,-0.172848039
St Andrews,Foothills Wo, 4.7,3.6, 6.0,25.2,3.7, 7.5, 4.7,10.0, 0.0, 0.0, 4.0,5.1, 2.8,3.7,15.8, 3.4, 0.0, 9.0,0.0,3.7, 5.6,4.0, 0.9,0.0,0.0,10.0, 0.0, 0.0,2.7, 0.0,0.0, 0.0, 8.4, 0.0,5.1, 5.0,0.0,0.0, 0.0,10.0,5.1, 0.9,3.4, 0.0,0.0, 1.0,0.0,0.0,0.0, 0.0,0.0, 0.0,1.7,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,15.0, 0.0,0.0,0.0,0.0,2.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32712560,-0.54054118,-1.036128168
Nepean,Foothills Wo,14.0,5.6, 5.5,20.0,3.0, 6.6, 7.0, 3.3, 7.0,10.0, 4.7,3.3, 2.1,3.7,12.0, 2.2, 0.0, 0.0,3.7,0.0, 4.0,2.0, 0.0,1.1,0.0, 0.0, 1.1, 4.5,0.0, 0.0,0.0, 0.0, 3.3, 0.0,0.0, 1.0,0.0,0.0, 0.0, 0.0,4.7, 1.1,0.0, 0.0,0.0, 5.0,0.0,0.0,0.0, 5.6,0.0, 0.0,2.2,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,2.2,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56254353,-0.45965830, 0.048888832
Cape Schanck,Mixed, 6.0,4.9, 4.9,16.2,3.4, 2.6, 2.8, 9.4, 6.6, 7.8, 5.1,5.2,21.3,0.0, 0.0, 4.3, 0.0, 0.0,6.4,0.0, 4.6,0.0, 3.4,0.0,0.0, 0.0,33.3, 0.0,0.0, 0.0,0.0, 0.0, 2.6, 0.0,0.0, 3.4,0.0,0.0, 0.0, 0.0,0.0, 0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0, 5.2,0.0, 0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,32.2,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,2.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24731158,-0.42725770, 1.203619727
Balnarring,Mixed, 4.1,4.9,10.7,21.2,3.9, 0.0, 5.1, 2.9,12.1, 6.1, 0.0,2.7, 0.0,0.0, 4.9,16.5, 0.0, 0.0,9.1,0.0, 3.9,0.0, 2.7,1.0,0.0, 0.0, 4.9,10.1,0.0, 0.0,0.0, 0.0, 4.9, 0.0,0.0, 1.9,0.0,0.0, 0.0, 0.0,0.0,10.3,0.0, 0.0,0.0, 3.9,0.0,0.0,0.0, 0.0,0.0, 0.0,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,16.5,1.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,-0.16298585,-0.55114316, 0.306944073
Bittern,Gippsland Ma, 6.5,9.7, 7.8,14.4,5.2, 0.0,11.5,12.5,20.7, 4.9, 0.0,0.0,16.1,5.2, 0.0, 0.0,27.7, 0.0,2.3,0.0, 0.0,0.0, 2.3,2.3,6.3, 0.0, 2.6, 0.0,1.3, 0.0,0.0, 0.0, 0.0,12.5,2.3,19.5,0.0,0.0, 0.0, 0.0,3.5, 8.0,0.0, 0.0,0.0, 2.3,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 5.8,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.07631352,-0.50343050, 1.116786960
Bailieston,Box-Ironbark, 6.5,2.5, 5.1, 5.6,4.3, 5.7, 6.2, 6.2, 1.2, 0.0, 0.0,1.6, 5.0,4.1, 9.8, 0.0, 0.0, 8.7,0.0,0.0, 0.0,6.2, 0.0,1.6,0.0,10.0, 0.0, 2.5,0.0, 0.0,0.0, 0.0, 7.3, 0.0,0.0, 1.1,0.0,0.0, 1.2, 0.0,2.8, 0.8,0.0, 0.0,0.0,14.1,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,1.7,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.18367300,-1.40705223,-1.793070306
Donna Buang,Mixed, 1.5,0.0, 2.2, 9.6,6.7, 3.0, 8.1, 0.0, 0.0, 7.3, 8.1,1.5, 2.2,0.7, 5.2, 0.0, 0.0, 0.0,0.0,1.5, 7.4,0.0, 0.0,1.5,0.0, 0.0, 0.0, 0.0,1.5, 0.0,0.0, 0.0, 0.0, 0.0,2.2, 0.0,3.7,0.0, 0.0, 0.0,3.7, 4.4,4.4, 0.0,0.0, 0.0,0.0,3.6,3.0, 1.5,0.7, 0.0,0.0,0.0,2.2,2.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.7,4.4,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,2.2,0.7,0.0,0.7,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,-0.80547674, 1.48553872, 0.127857435
